cnpj,razao_social,origem,nota,ativo,prioridade,aliases,site,url_produtos,url_blog,url_carreiras,gupy_slug,linkedin_url
63083006000190,1MONEY BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,1Money Brasil,https://1money.com,,,,,
46977494000160,4PAY FINANCE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,4Pay Finance,https://4p.finance/,,,,,https://linkedin.com/company/4p-finance
34385695000199,AKIN S.A. -  SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS,SPSAV,A,1,1,Akin,,,,,,
63531029000110,ALFRED PAY SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Alfred Pay,https://alfredpay.io,,,,,
62692862000180,AMBAR SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Ambar Capital | Ambar,https://ambar.capital,,,,,
64797796000138,AMERICANS BUSINESS SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Americans Business,https://americansbusiness.com.br,,,,,https://linkedin.com/company/americans-oficial
60483028000159,ASA DIGITAL ASSETS SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Asa Digital Assets,https://www.asa.com.br/,,,,,https://linkedin.com/company/asainvestments
60723612000134,AUREX PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Aurex Capital | Aurex,https://aurex.capital/,,,,,
50224164000170,AVENIA SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Avenia,https://avenia.io/,,,,,https://linkedin.com/company/avenia-io
55063975000150,AVOI SOCIEDADE PRESTADORA DE  SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Avoi,https://avoi.com.br/,,,,,
41778759000187,BA GLOBAL DIGITAL SOLUTIONS - SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,AA,1,1,Ba Global Digital Solutions,https://baglobal.com.br/,,,,,
00416968000101,BANCO INTER S.A.,INCUMBENTE,A,1,1,Banco Inter,,,,,,
62415233000102,BITHOPE SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA.,SPSAV,A,1,1,Bithope,https://bithope.com.br,,,,,
51802405000184,BITSO SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Bitso,https://bhub.com/,,,,,https://linkedin.com/company/bhub-ai
57599376000181,BLIND PAY SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Blind Pay,https://blindpay.com/,,,,,https://linkedin.com/company/blindpay
32113577000104,BLOCKRIVER SOCIEDADE  PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS S/A,SPSAV,A,1,1,Blockriver,https://blockriver.com,,,,,
54473288000140,BLOXTRADE CAPITAL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Bloxtrade Capital,,,,,,
63732836000109,BTGT BRASIL SOCIEDADE  PRESTADORA DE SERVICOS DE  ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Btgt Brasil,https://globalbridgecs.com.br/,,,,,https://linkedin.com/company/106877639
35491577000128,BYBIT SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Bybit,https://ilmbrazil.com/,,,,,https://linkedin.com/company/il-management-services
22268814000144,COINBASE BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Coinbase Brasil,https://mouraocampos.com.br/,,,,,https://linkedin.com/company/mourao-campos-group
29242868000180,COINEXT SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS S.A,SPSAV,A,1,1,Coinext,https://coinext.com.br/,,,,,https://linkedin.com/company/coinext
52006135000168,CROSS SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Cross Intermediacao | Cross,,,,,,
59386340000145,CROWN SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Crown,https://brl.xyz/,,,,,
33967103000184,DEMERGE BRASIL PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS E PAGAMENTOS LTDA,SPSAV,A,1,1,Demerge Brasil E Pagamentos,https://www.dlocal.com/,,,,,https://linkedin.com/company/dlocal
13059145000100,EBURY BANCO DE CÂMBIO S.A.,INCUMBENTE,A,1,1,Ebury Bank | Ebury Banco De Cambio,https://br.ebury.com,,,,,
60773680000108,FINBLOOM BRASIL PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Finbloom Brasil,https://globalbridgecs.com.br/,,,,,https://linkedin.com/company/106877639
24536770000111,FLGE SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Flge,https://mnadv.com.br,,,,,
21246584000150,FOXBIT SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,AA,1,1,Foxbit | Foxbit Exchange,https://foxbit.com.br/,,,https://foxbit.gupy.io,foxbit,https://linkedin.com/company/foxbit
30359852000130,GOMONEY PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Gomoney,https://gomoney.me/,,,,,
60442459000177,INTER DIGITAL ASSETS - SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Inter Digital Assets,https://www.inter.co,,,,,
68675443000116,KAST SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Kast,https://kastcard.com,,,,,https://linkedin.com/company/kastxyz
61147857000123,KUCOIN BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,SPSAV,A,1,1,Kucoin Brasil,https://www.kucoin.com/pt,,,,,
