origem,segmento,cnpj,razao_social,nome_fantasia,uf,municipio,situacao,data_situacao,data_inicio,capital_social,cnae_principal,email,ddd1,tel1,socios,score,sinal_grupo_spsav,sinal_site,sinal_nome,sinal_noticias,socio_comum,evidencia_site,evidencia_noticias
SPSAV,SPSAV,63083006000190,1MONEY BRASIL SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20251007,20251007,"270000,00",6499999,CONTROLEREPLEGAL@GMAIL.COM,11,23646892,1MONEY BERMUDA LTD | CESAR MADEIRA PADOVESI,11,,,,,,,
SPSAV,SPSAV,46977494000160,4PAY FINANCE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,4PAY FINANCE,PE,2531,02,20220630,20220630,"1000000,00",6619399,CONTATO@4P.FINANCE,11,51289991,DANIEL CHIARI BUARQUE | LEONARDO BORGES CACERES MUNHOZ | ACCIPTER HOLDING LTDA.,11,,,,,,,
SPSAV,SPSAV,34385695000199,AKIN S.A. -  SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS,AKIN,SP,7107,02,20190731,20190731,"50000000,00",6619399,AKINTCH@GMAIL.COM,11,93338228,LEANDRO RODRIGUES DIAS | POMPEO TADEU SCOLA | JOHN WESLEY DAYS JR,11,,,,,,,
SPSAV,SPSAV,63531029000110,ALFRED PAY SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20251105,20251105,"2000000,00",6619399,JULIANA.RODRIGUES@VALORCONTABILIDADE.COM.BR,11,23062621,JULIANA RODRIGUES DA SILVA | ALFRED PAY HOLDING LTDA,11,,,,,,,
SPSAV,SPSAV,62692862000180,AMBAR SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,AMBAR CAPITAL,PR,7691,02,20250912,20250912,"1000000,00",7490104,EXPEDIENTE@MICHELANCONTABILIDADE.COM,44,32246353,LM3 PARTICIPACOES LTDA | FELIPE DOS SANTOS FATIQUE | FELIPE ANDRE DE CARVALHO LIMA,11,,,,,,,
SPSAV,SPSAV,63555912000140,AMERICA BITCOIN PROVEDOR DE SERVICOS DE ATIVOS VIRTUAIS LTDA,AMERICA BITCOIN,DF,9701,02,20251106,20251106,"100000,00",6619399,GNARAUJO1@GMAIL.COM,84,99601772,GUILHERME DO NASCIMENTO ARAUJO,11,,,,,,,
SPSAV,SPSAV,64797796000138,AMERICANS BUSINESS SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,AMERICANS BUSINESS,SP,7145,02,20260130,20260130,"10000,00",6619399,CONTATO@AMERICANSBUSINESS.COM.BR,51,34061473,AUVRAHY BARAO | LUIZ ALESSANDRO VARGAS NORNBERG,11,,,,,,,
SPSAV,SPSAV,62444884000120,ANDX SOCIEDADE PRESTADORA DE SERVICOS DE ATIVOS VIRTUAIS LTDA,"",PB,2051,02,20250828,20250828,"3000000,00",6619399,FARES@ANDX.COM.BR,11,11111111,MONEYX LLC | FARES ALSARSAR ALKUDMANI,11,,,,,,,
SPSAV,SPSAV,67226778000194,APOIO ADMINISTRATIVO VIRTUAL LTDA,APOIO ADMINISTRATIVO VIRTUAL,PR,7483,03,20260619,20260609,"14000,00",8219999,FFRANCISCORAFAELL204@GMAIL.COM,83,99999999,AIRTON EMANUEL BRITO DOS SANTOS,11,,,,,,,
SPSAV,SPSAV,63221886000113,ARCADIUM ATIVOS VIRTUAIS LTDA,"",SP,7107,02,20251016,20251016,"10000,00",6619399,FISCAL@LEGALBR.COM.BR,11,52867080,KLEBER GOMES DE SOUZA | DANDARA JUSTINIANO TAVARES,11,,,,,,,
